Series_Title,Released_Year,Certificate,Runtime,Runtime2,Genre,IMDB_Rating,No_of_Votes,Gross
The Lives of Others,2006,A,137 min,137,Drama,8.4,358685,11286112
Rosemary's Baby,1968,A,137 min,137,Drama,8,193674,542140
Beasts of No Nation,2015,A,137 min,137,Drama,7.7,73964,83861
8½,1963,A,138 min,138,Drama,8,108844,50690
Fight Club,1999,A,139 min,139,Drama,8.8,1854740,37030102
The Shawshank Redemption,1994,A,142 min,142,Drama,9.3,2343110,28341469
Idi i smotri,1985,A,142 min,142,Drama,8.3,59056,2832229
Ikiru,1952,A,143 min,143,Drama,8.3,68463,55240
Dev.D,2009,A,144 min,144,Drama,8,28749,10950
Black Hawk Down,2001,A,144 min,144,Drama,7.7,364254,108638745
Ah-ga-ssi,2016,A,145 min,145,Drama,8.1,113649,2006788
The Shining,1980,A,146 min,146,Drama,8.4,898237,44017374
Gone Girl,2014,A,149 min,149,Drama,8.1,859695,167767189
Amores perros,2000,A,154 min,154,Drama,8.1,223741,5383834
There Will Be Blood,2007,A,158 min,158,Drama,8.2,517359,40222514
Django Unchained,2012,A,165 min,165,Drama,8.4,1357682,162805434
Boyhood,2014,A,165 min,165,Drama,7.9,335533,25379975
The Thin Red Line,1998,A,170 min,170,Drama,7.6,172710,36400491
Judgment at Nuremberg,1961,A,179 min,179,Drama,8.2,69458,1229597
La vie d'Adèle,2013,A,180 min,180,Drama,7.7,138741,2199675
The Deer Hunter,1978,A,183 min,183,Drama,8.1,311361,48979328
Fanny och Alexander,1982,A,188 min,188,Drama,8.1,57784,4971340
Doctor Zhivago,1965,A,197 min,197,Drama,8,69903,111722000
Bride of Frankenstein,1935,A,75 min,75,Drama,7.8,43542,4360000
Vivre sa vie: Film en douze tableaux,1962,A,80 min,80,Drama,8,28057,14500200
Persona,1966,A,85 min,85,Drama,8.1,103191,39681
Mandariinid,2013,A,87 min,87,Drama,8.2,40382,144501
Paths of Glory,1957,A,88 min,88,Drama,8.4,178092,276102
Ladri di biciclette,1948,A,89 min,89,Drama,8.3,146427,332930
Jungfrukällan,1960,A,89 min,89,Drama,8.1,26697,1526000
Les yeux sans visage,1960,A,90 min,90,Drama,7.7,27620,52709
Viskningar och rop,1972,A,91 min,91,Drama,8.1,30206,1742348
Trainspotting,1996,A,93 min,93,Drama,8.1,634716,16501785
In a Lonely Place,1950,A,94 min,94,Drama,8,26784,654600
El ángel exterminador,1962,A,95 min,95,Drama,8.1,29682,102221
Det sjunde inseglet,1957,A,96 min,96,Drama,8.2,164939,25000200
Detachment,2011,A,98 min,98,Drama,7.7,77071,71177
The Lost Weekend,1945,Passed,101 min,101,Drama,7.9,33549,9460000
Cape Fear,1962,Passed,106 min,106,Drama,7.7,26457,51081262
Sunset Blvd.,1950,Passed,110 min,110,Drama,8.4,201632,276302
From Here to Eternity,1953,Passed,118 min,118,Drama,7.6,43374,30500000
The Grapes of Wrath,1940,Passed,129 min,129,Drama,8,85559,55000
What Ever Happened to Baby Jane?,1962,Passed,134 min,134,Drama,8.1,50058,4050000
All About Eve,1950,Passed,138 min,138,Drama,8.2,120539,10177
Frankenstein,1931,Passed,70 min,70,Drama,7.8,65341,2617200
Laura,1944,Passed,88 min,88,Drama,8,42725,4360000
Sunrise: A Song of Two Humans,1927,Passed,94 min,94,Drama,8.1,46865,539540
Gifted,2017,PG-13,101 min,101,Drama,7.6,99643,24801212
The Visitor,2007,PG-13,104 min,104,Drama,7.6,41544,9422422
In America,2002,PG-13,105 min,105,Drama,7.7,40403,15539266
True Grit,2010,PG-13,110 min,110,Drama,7.6,311822,171243005
Rebel Without a Cause,1955,PG-13,111 min,111,Drama,7.7,83363,52909
Joyeux Noël,2005,PG-13,116 min,116,Drama,7.7,28003,1054361
Jodaeiye Nader az Simin,2011,PG-13,123 min,123,Drama,8.3,220002,7098492
The Manchurian Candidate,1962,PG-13,126 min,126,Drama,7.9,71122,24380178
Okuribito,2008,PG-13,130 min,130,Drama,8.1,48582,1498210
Le passé,2013,PG-13,130 min,130,Drama,7.8,45002,1330596
Fried Green Tomatoes,1991,PG-13,130 min,130,Drama,7.7,66941,82418501
I Am Sam,2001,PG-13,132 min,132,Drama,7.7,142863,40311852
Hamlet,1996,PG-13,242 min,242,Drama,7.7,35991,4414535
The Boy in the Striped Pyjamas,2008,PG-13,94 min,94,Drama,7.8,190748,9030581
Les choristes,2004,PG-13,97 min,97,Drama,7.9,57430,3635164
Mustang,2015,PG-13,97 min,97,Drama,7.6,35785,845464
Under sandet,2015,R,100 min,100,Drama,7.8,35539,435266
Before Sunrise,1995,R,101 min,101,Drama,8.1,272291,5535405
Todo sobre mi madre,1999,R,101 min,101,Drama,7.8,89058,8264530
The Machinist,2004,R,101 min,101,Drama,7.7,358432,1082715
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,R,103 min,103,Drama,8,77520,2380788
Festen,1998,R,105 min,105,Drama,8,78341,1647780
Mysterious Skin,2004,R,105 min,105,Drama,7.6,65939,697181
Misery,1990,R,107 min,107,Drama,7.8,184740,61276872
Before Midnight,2013,R,109 min,109,Drama,7.9,141457,8114627
Central do Brasil,1998,R,110 min,110,Drama,8,36419,5595428
Billy Elliot,2000,R,110 min,110,Drama,7.7,126770,21995263
Babam ve Oglum,2005,R,112 min,112,Drama,8.3,78925,6857296
Hable con ella,2002,R,112 min,112,Drama,7.9,104691,9284265
Donnie Darko,2001,R,113 min,113,Drama,8,740086,1480006
The Magdalene Sisters,2002,R,114 min,114,Drama,7.7,25938,4890878
Jagten,2012,R,115 min,115,Drama,8.3,281623,687185
Gran Torino,2008,R,116 min,116,Drama,8.1,720450,148095302
Room,2015,R,118 min,118,Drama,8.1,371538,14677674
The Last Picture Show,1971,R,118 min,118,Drama,8,42456,29133000
Hævnen,2010,R,118 min,118,Drama,7.6,38491,1008098
American History X,1998,R,119 min,119,Drama,8.5,1034705,6719864
1917,2019,R,119 min,119,Drama,8.3,425844,159227644
Sound of Metal,2019,R,120 min,120,Drama,7.8,27187,2538120
Efter brylluppet,2006,R,120 min,120,Drama,7.7,32001,412544
Das Experiment,2001,R,120 min,120,Drama,7.7,90842,141072
La piel que habito,2011,R,120 min,120,Drama,7.6,138959,3185812
Gegen die Wand,2004,R,121 min,121,Drama,7.9,51325,318412301
Portrait de la jeune fille en feu,2019,R,122 min,122,Drama,8.1,63134,3759854
Atonement,2007,R,123 min,123,Drama,7.8,251370,50927067
Match Point,2005,R,124 min,124,Drama,7.6,206294,23089926
"Synecdoche, New York",2008,R,124 min,124,Drama,7.6,83158,3081925
Le locataire,1976,R,126 min,126,Drama,7.7,39889,1924733
Nelyubov,2017,R,127 min,127,Drama,7.6,29765,566356
El secreto de sus ojos,2009,R,129 min,129,Drama,8.2,193217,6391436
The Trial of the Chicago 7,2020,R,129 min,129,Drama,7.8,89896,2222847
Incendies,2010,R,131 min,131,Drama,8.3,150023,6857096
Sling Blade,1996,R,135 min,135,Drama,8,86838,24475416
Roma,2018,R,135 min,135,Drama,7.7,140375,4360400
25th Hour,2002,R,135 min,135,Drama,7.6,169708,13060843
Mommy,2014,R,139 min,139,Drama,8.1,50700,3492754
Mr. Nobody,2009,R,141 min,141,Drama,7.8,216421,3600
Zwartboek,2006,R,145 min,145,Drama,7.7,72643,4398392
Apocalypse Now,1979,R,147 min,147,Drama,8.4,606398,83471511
Mulholland Dr.,2001,R,147 min,147,Drama,7.9,322031,7220243
Boogie Nights,1997,R,155 min,155,Drama,7.9,239473,26400640
Breaking the Waves,1996,R,159 min,159,Drama,7.8,62428,4040691
Saving Private Ryan,1998,R,169 min,169,Drama,8.6,1235804,216540909
Ba wang bie ji,1993,R,171 min,171,Drama,8.1,25088,5216888
Magnolia,1999,R,188 min,188,Drama,8,289742,22455976
Before Sunset,2004,R,80 min,80,Drama,8.1,236311,5820649
Once,2007,R,86 min,86,Drama,7.8,110656,9439923
Short Term 12,2013,R,96 min,96,Drama,8,81770,1010414
Moon,2009,R,97 min,97,Drama,7.9,335152,5009677
La double vie de Véronique,1991,R,98 min,98,Drama,7.8,42376,1999955
Casablanca,1942,U,102 min,102,Drama,8.5,522093,1024560
Notorious,1946,U,102 min,102,Drama,7.9,92306,10464000
Au revoir les enfants,1987,U,104 min,104,Drama,8,31163,4542825
The Lunchbox,2013,U,104 min,104,Drama,7.8,50523,4231500
Edward Scissorhands,1990,U,105 min,105,Drama,7.9,447368,56362352
The Illusionist,2006,U,110 min,110,Drama,7.6,354728,39868642
Wonder,2017,U,113 min,113,Drama,8,141923,132422809
The Conversation,1974,U,113 min,113,Drama,7.8,98611,4420000
The Butterfly Effect,2004,U,113 min,113,Drama,7.6,451479,57938693
East of Eden,1955,U,118 min,118,Drama,7.9,40313,93740200
What's Eating Gilbert Grape,1993,U,118 min,118,Drama,7.8,215034,9170214
Abre los ojos,1997,U,119 min,119,Drama,7.7,64082,368234
Rocky,1976,U,120 min,120,Drama,8.1,518546,117235247
Anand,1971,U,122 min,122,Drama,8.4,30273,83471711
Black,2005,U,122 min,122,Drama,8.2,33354,733094
Ordinary People,1980,U,124 min,124,Drama,7.7,47099,54800000
Good Will Hunting,1997,U,126 min,126,Drama,8.3,861606,138433435
Der Himmel über Berlin,1987,U,128 min,128,Drama,8,64722,3333969
The Verdict,1982,U,129 min,129,Drama,7.7,36096,54000000
The Prestige,2006,U,130 min,130,Drama,8.5,1190259,53089891
Kai po che!,2013,U,130 min,130,Drama,7.7,32628,1122527
Brazil,1985,U,132 min,132,Drama,7.9,187567,9929135
Rain Man,1988,U,133 min,133,Drama,8,473064,178800000
Un long dimanche de fiançailles,2004,U,133 min,133,Drama,7.6,70925,6167817
The Remains of the Day,1993,U,134 min,134,Drama,7.8,66065,22954968
Little Women,2019,U,135 min,135,Drama,7.8,143250,108101214
Tôkyô monogatari,1953,U,136 min,136,Drama,8.2,53153,57426
Sense and Sensibility,1995,U,136 min,136,Drama,7.6,102598,43182776
A Few Good Men,1992,U,138 min,138,Drama,7.7,235388,141340178
Zulu,1964,U,138 min,138,Drama,7.7,35999,28350200
Close Encounters of the Third Kind,1977,U,138 min,138,Drama,7.6,184966,132088635
L'avventura,1960,U,144 min,144,Drama,7.9,26542,24380378
"Paris, Texas",1984,U,145 min,145,Drama,8.1,91188,2181987
All Quiet on the Western Front,1930,U,152 min,152,Drama,8,57318,3270000
Soorarai Pottru,2020,U,153 min,153,Drama,8.6,54995,12763
Metropolis,1927,U,153 min,153,Drama,8.3,159992,1236166
Chak De! India,2007,U,153 min,153,Drama,8.2,74129,1113541
The Color Purple,1985,U,154 min,154,Drama,7.8,78321,98467863
Nuovo Cinema Paradiso,1988,U,155 min,155,Drama,8.5,230763,11990401
Stalker,1979,U,162 min,162,Drama,8.2,116945,234723
Taare Zameen Par,2007,U,165 min,165,Drama,8.4,168895,1223869
La leggenda del pianista sull'oceano,1998,U,169 min,169,Drama,8.1,59020,259127
My Fair Lady,1964,U,170 min,170,Drama,7.8,86525,72000000
Kagemusha,1980,U,180 min,180,Drama,8,32195,38400200
Dilwale Dulhania Le Jayenge,1995,U,189 min,189,Drama,8.1,63516,171282
Veer-Zaara,2004,U,192 min,192,Drama,7.8,49050,2921738
"Swades: We, the People",2004,U,210 min,210,Drama,8.2,83005,1223240
Gone with the Wind,1939,U,238 min,238,Drama,8.1,290074,198676459
Brief Encounter,1945,U,86 min,86,Drama,8,35601,655000
Smultronstället,1957,U,91 min,91,Drama,8.2,96381,1229797
The Day the Earth Stood Still,1951,U,92 min,92,Drama,7.7,76315,53309
Trois couleurs: Bleu,1993,U,94 min,94,Drama,7.9,89836,1324974
A Little Princess,1995,U,97 min,97,Drama,7.7,32236,10019307
Fa yeung nin wah,2000,U,98 min,98,Drama,8.1,124383,2734044
Höstsonaten,1978,U,99 min,99,Drama,8.2,26875,23384187
Trois couleurs: Rouge,1994,U,99 min,99,Drama,8.1,90729,4043686
"I, Daniel Blake",2016,UA,100 min,100,Drama,7.9,53818,258168
The Perks of Being a Wallflower,2012,UA,103 min,103,Drama,8,462252,17738570
God's Own Country,2017,UA,104 min,104,Drama,7.7,25198,335609
Kokuhaku,2010,UA,106 min,106,Drama,7.8,35713,177003124
Gattaca,1997,UA,106 min,106,Drama,7.8,280845,12339633
Die Welle,2008,UA,107 min,107,Drama,7.6,102742,3186012
Eternal Sunshine of the Spotless Mind,2004,UA,108 min,108,Drama,8.3,911664,34400301
Ex Machina,2014,UA,108 min,108,Drama,7.7,474141,25442958
The Wrestler,2008,UA,109 min,109,Drama,7.9,289415,26236603
On Golden Pond,1981,UA,109 min,109,Drama,7.6,27650,119285432
Vozvrashchenie,2003,UA,110 min,110,Drama,8,42399,502028
The Broken Circle Breakdown,2012,UA,111 min,111,Drama,7.7,39379,175058
La Grande Illusion,1937,UA,113 min,113,Drama,8.1,33829,172885
Il conformista,1970,UA,113 min,113,Drama,8,27067,541940
Ondskan,2003,UA,113 min,113,Drama,7.8,35682,15280
Full Metal Jacket,1987,UA,116 min,116,Drama,8.3,675146,46357676
Arrival,2016,UA,116 min,116,Drama,7.9,594181,100546139
Pan's Labyrinth,2006,UA,118 min,118,Drama,8.2,618623,37634615
Citizen Kane,1941,UA,119 min,119,Drama,8.3,403351,1585634
Slumdog Millionaire,2008,UA,120 min,120,Drama,8,798882,141319928
Network,1976,UA,121 min,121,Drama,8.1,144911,48979528
La battaglia di Algeri,1966,UA,121 min,121,Drama,8.1,53089,55908
American Beauty,1999,UA,122 min,122,Drama,8.3,1069738,130096601
The Man Who Shot Liberty Valance,1962,UA,123 min,123,Drama,8.1,68827,4050200
Seven Pounds,2008,UA,123 min,123,Drama,7.6,286770,69951824
Forushande,2016,UA,124 min,124,Drama,7.8,51240,2402067
Philadelphia,1993,UA,125 min,125,Drama,7.7,224169,77324422
The Fault in Our Stars,2014,UA,126 min,126,Drama,7.7,344312,124872350
Amour,2012,UA,127 min,127,Drama,7.9,93090,6739492
Chinatown,1974,UA,130 min,130,Drama,8.1,294230,29000000
Airlift,2016,UA,130 min,130,Drama,8,52897,1034295
Million Dollar Baby,2004,UA,132 min,132,Drama,8.1,635975,100492203
Call Me by Your Name,2017,UA,132 min,132,Drama,7.9,212651,18095701
Udaan,2010,UA,134 min,134,Drama,8.2,42341,7461
Pink,2016,UA,136 min,136,Drama,8.1,39216,1241223
A Star Is Born,2018,UA,136 min,136,Drama,7.6,334312,215288866
Manchester by the Sea,2016,UA,137 min,137,Drama,7.8,246963,47695120
La grande bellezza,2013,UA,141 min,141,Drama,7.8,81125,2852400
Forrest Gump,1994,UA,142 min,142,Drama,8.8,1809221,330252182
Bridge of Spies,2015,UA,142 min,142,Drama,7.6,287659,72313754
Das weiße Band - Eine deutsche Kindergeschichte,2009,UA,144 min,144,Drama,7.8,68715,2222647
The Help,2011,UA,146 min,146,Drama,8,428521,169708112
Gully Boy,2019,UA,154 min,154,Drama,8,31886,5566534
Scent of a Woman,1992,UA,156 min,156,Drama,8,263918,63895607
Rockstar,2011,UA,159 min,159,Drama,7.7,39501,985912
My Name Is Khan,2010,UA,165 min,165,Drama,8,98575,4018695
The Curious Case of Benjamin Button,2008,UA,166 min,166,Drama,7.8,589160,127509326
JFK,1991,UA,189 min,189,Drama,8,142110,70405498
Titanic,1997,UA,194 min,194,Drama,7.8,1046089,659325379
Kis Uykusu,2014,UA,196 min,196,Drama,8.1,46547,165520
Freaks,1932,UA,64 min,64,Drama,7.9,42117,2537720
Bronenosets Potemkin,1925,UA,75 min,75,Drama,8,53054,50970
The Man from Earth,2007,UA,87 min,87,Drama,7.9,174125,257730219
Hiroshima mon amour,1959,UA,90 min,90,Drama,7.9,28421,88300
Gravity,2013,UA,91 min,91,Drama,7.7,769145,274092705
Pink Floyd: The Wall,1982,UA,95 min,95,Drama,8.1,76081,22244207
Ivanovo detstvo,1962,UA,95 min,95,Drama,8.1,31728,102621
Lifeboat,1944,UA,97 min,97,Drama,7.6,26471,13780424
